REACTION,STANDARD [kJ/mol],UNCERTAINTY [kJ/mol],TRANSFORMED [kJ/mol],MIN TRANSFORMED [kJ/mol],MAX TRANSFORMED [kJ/mol]
KYNAKGAT,-8.68,3.64,-7.18,-73.68,59.33
KYNATESYN,-99.54,11.19,-99.53,-151.15,-47.91
LACZe,-17.73,2.78,-17.73,-94.44,5.53
LACZly,-17.73,2.78,-17.73,-94.44,5.53
LALDO,23.48,6.18,-22.21,-81.83,90.85
LALDO2x,-46.96,6.04,-1.25,-72.47,69.97
LAPCOAl,-34.45,4.76,-34.02,-114.59,-6.88
LCADi_D,41.78,10.63,-48.16,-128.38,32.06
LCADi_Dm,41.78,10.63,-57.66,-137.88,22.56
LCADim,38.69,10.12,-60.76,-139.96,18.45
LCTStg,0.0,0.0,-0.0,-29.69,29.69
LCTStl,0.0,0.0,0.0,-29.69,29.69
LCYSTAT,-8.68,3.64,-8.52,-75.02,57.99
LCYSTATm,-8.68,3.64,-7.84,-74.34,58.67
LCYSTCBOXL,-55.9,6.98,-11.5,-96.44,20.0
LDH_Lm,69.92,4.79,19.46,-49.3,88.23
LEUKTRA4t,0.0,0.0,2.89,-26.8,32.58
LEUKTRA4tr,0.0,0.0,0.0,-29.69,29.69
LEUKTRB4t,0.0,0.0,2.89,-26.8,32.58
LEUKTRB4tr,0.0,0.0,0.0,-29.69,29.69
LEUKTRC4t,0.0,0.0,2.99,-56.39,62.37
LEUKTRD4t,0.0,0.0,3.32,-26.37,33.01
LEUKTRD4tr,0.0,0.0,0.0,-29.69,29.69
LEUKTRE4t,0.0,0.0,2.95,-26.74,32.64
LEUKTRF4t,0.0,0.0,5.85,-23.84,35.54
LEUt4,0.0,0.0,-2.99,-62.37,56.39
LEUt5m,0.0,0.0,-0.11,-29.8,29.58
LEUTAm,-2.51,2.54,-1.12,-65.48,63.24
LEUtec,0.0,0.0,0.01,-29.68,29.7
LFORKYNHYD,-0.59,6.17,-44.77,-128.12,-14.85
LGNCCOAtx,0.0,0.0,-4.76,-34.45,24.93
LGNCCRNt,0.0,0.0,0.0,-29.69,29.69
LGNCt,0.0,0.0,2.89,-26.8,32.58
LIMNENte,0.0,0.0,0.0,-29.69,29.69
LIPOti,11.33,4.76,-32.06,-172.01,54.45
L_LACtcm,0.0,0.0,14.96,-14.73,44.64
L_LACtm,0.0,0.0,-4.75,-34.44,24.94
LNELDCCRNt,0.0,0.0,0.0,-29.69,29.69
LNELDCt,0.0,0.0,2.89,-26.8,32.58
LNLCCPT1,-6.88,3.21,-6.94,-72.6,58.73
LNLCCPT2,6.88,3.21,7.24,-58.43,72.9
LNLCCRNt,0.0,0.0,0.0,-29.69,29.69
LNLCt,0.0,0.0,2.89,-26.8,32.58
LNLNCACPT1,-6.88,3.21,-6.94,-72.6,58.73
LNLNCACPT2,6.88,3.21,7.24,-58.43,72.9
LNLNCACRNt,0.0,0.0,0.0,-29.69,29.69
LNLNCAt,0.0,0.0,2.89,-26.8,32.58
LNLNCGCPT1,-6.88,3.21,-6.94,-72.6,58.73
LNLNCGCPT2,6.88,3.21,7.24,-58.43,72.9
LNLNCGCRNt,0.0,0.0,0.0,-29.69,29.69
LNLNCGt,0.0,0.0,2.89,-26.8,32.58
LPCHOLt,0.0,0.0,0.0,-29.69,29.69
LPCOXp,-69.51,10.61,-112.79,-192.96,-32.61
LSTO1r,-459.16,12.48,-410.49,-482.46,-285.08
LSTO2r,-459.16,17.43,-410.49,-492.16,-275.38
LTA4H,24.31,5.9,24.31,-16.95,65.56
LTC4CP,-15.08,4.25,-15.12,-94.7,11.02
LTC4Sr,-43.45,7.51,-44.97,-77.5,41.01
LTD4DP,-15.08,4.25,-14.27,-93.85,11.88
LTDCL,-63.77,11.85,-21.0,-115.47,20.04
LYSOXp,-112.42,9.54,-112.45,-232.09,-46.24
LYSt4,0.0,0.0,-5.89,-65.27,53.49
LYStiDF,0.0,0.0,-2.89,-32.57,26.8
LYStip,0.0,0.0,1.19,-28.5,30.88
LYStm,0.0,0.0,4.67,-25.02,34.36
LYStn,0.0,0.0,0.0,-29.69,29.69
M4MPDOL_Lter,0.0,0.0,0.0,-29.69,29.69
M4MPDOL_Uter,0.0,0.0,0.0,-29.69,29.69
M7MASNBterg,0.0,0.0,0.0,-29.69,29.69
M8MASNterg,0.0,0.0,-0.0,-29.69,29.69
MACACI,0.0,0.0,-0.0,-29.69,29.69
MACOXO,46.17,9.69,-43.72,-122.1,34.65
MAGt,0.0,0.0,0.0,-29.69,29.69
MALSO3tm,0.0,0.0,4.32,-55.05,63.7
MALSO4tm,0.0,0.0,0.01,-59.37,59.38
MALTe,-14.6,2.55,-14.6,-90.85,8.2
MALTly,-14.6,2.55,-14.6,-90.85,8.2
MALtm,0.0,0.0,-0.35,-59.72,59.03
MALTSULtm,0.0,0.0,2.5,-56.87,61.88
MALTt1r,0.0,0.0,0.0,-29.69,29.69
MANt1r,0.0,0.0,0.0,-29.69,29.69
MANter,0.0,0.0,0.0,-29.69,29.69
MANtg,0.0,0.0,-0.0,-29.69,29.69
MANtly,0.0,0.0,-0.0,-29.69,29.69
MAOLNOR,-89.02,8.97,-89.05,-207.57,-23.98
MAOX,-76.87,9.8,-76.93,-197.08,-10.22
MCCCrm,33.0,5.48,-17.53,-117.34,82.29
MCD,-60.84,8.9,-10.69,-99.39,24.56
MCDm,-60.84,8.9,-5.94,-94.63,29.31
MCDp,-60.84,8.9,-11.88,-100.58,23.37
MCITS,-4.71,7.61,-51.97,-126.26,22.32
MCLACCYSR,49.69,9.63,3.94,-62.43,123.76
MCLOR,55.92,5.1,10.19,-59.19,79.57
MCPST,-39.3,10.97,-83.47,-164.35,-2.6
MDHm,72.77,4.76,22.31,-46.39,91.01
MDRPD,-47.44,2.42,-47.42,-81.85,-13.0
ME1m,12.61,5.05,12.62,-98.23,70.03
ME2,16.04,5.09,13.1,-97.82,70.57
ME2m,16.04,5.09,13.09,-97.82,70.56
MECOALm,-7.66,6.2,-7.4,-108.62,93.83
MECOAS1m,-3.99,6.43,-3.51,-105.18,98.16
MELATN23DOX,-356.82,16.01,-356.82,-406.02,-254.18
MELATNOX,-483.78,7.68,-435.15,-497.7,-319.15
MEOHt2,0.0,0.0,0.0,-29.69,29.69
MEOHtly,0.0,0.0,0.0,-29.69,29.69
MEOHtr,0.0,0.0,0.0,-29.69,29.69
MEPIVESSte,11.33,4.76,-26.17,-136.43,30.65
MERCPLACCYSt,0.0,0.0,-2.96,-32.65,26.73
MESCOALm,5.88,4.89,11.8,-69.03,39.2
METLEUex,0.0,0.0,0.0,-59.38,59.38
METS,26.33,9.95,-19.37,-98.26,59.51
METt4,0.0,0.0,-2.99,-62.37,56.39
METtec,0.0,0.0,0.01,-29.68,29.7
MEVK1x,25.15,6.18,-16.96,-88.45,54.53
MGACONm,5.28,3.83,5.28,-31.93,42.48
MGCHrm,-5.28,3.83,-5.28,-42.48,31.93
MGSA,-63.81,3.43,-64.15,-142.12,-39.61
MGSA2,-69.28,3.52,-69.58,-147.73,-44.87
MHISOR,-89.02,8.97,-89.03,-207.54,-23.95
MI13456PK,29.74,5.49,-39.84,-109.97,30.3
MI13456Ptn,0.0,0.0,0.0,-29.69,29.69
MI1345PKn,29.74,5.49,-33.91,-104.05,36.23
MI1345PP,-18.41,2.79,-1.07,-77.8,22.22
MI1346PKn,29.74,5.49,-33.91,-104.05,36.23
MI1346Ptn,0.0,0.0,0.0,-29.69,29.69
MI134P4P,-18.41,2.79,-7.02,-83.75,16.27
MI134PK,29.74,5.49,-27.98,-98.12,42.16
MI134PP,-18.41,2.79,-7.0,-83.73,16.29
MI13PP,-18.41,2.79,-12.94,-89.67,10.35
MI1456PKn,29.74,5.49,-33.91,-104.05,36.23
MI145P6Kn,29.74,5.49,-27.98,-98.11,42.16
MI145PK,29.74,5.49,-27.98,-98.12,42.16
MI145PKn,29.74,5.49,-27.98,-98.12,42.16
MI145PP,-18.41,2.79,-7.02,-83.75,16.27
MI14P4P,-18.41,2.79,-12.94,-89.67,10.35
MI14PP,-18.41,2.79,-12.94,-89.67,10.35
MI14Ptn,0.0,0.0,0.0,-29.69,29.69
MI1P_Dtn,0.0,0.0,0.0,-29.69,29.69
MI1PS,-63.95,11.6,-63.93,-116.36,-11.51
MI3456PK,29.74,5.49,-33.91,-104.05,36.23
MI34PP,-18.41,2.79,-12.95,-89.68,10.34
MINOHPtn,0.0,0.0,0.0,-29.69,29.69
MLTG1,-12.31,6.25,-12.31,-95.81,17.75
MLTG1e,-12.31,6.25,-12.31,-95.81,17.75
MLTG1ly,-12.31,6.25,-12.31,-95.81,17.75
MMCD,-64.25,10.84,-14.1,-106.6,24.96
MMCDm,-64.25,10.84,-9.35,-101.85,29.72
MMCDp,-64.25,10.84,-15.29,-107.8,23.77
MMEm,-0.0,4.73,-0.0,-38.96,38.96
MMMm,-7.57,3.34,-7.57,-43.82,28.67
MMSAD1m,-24.46,7.09,-25.58,-128.54,77.39
MMSAD3m,-24.18,8.47,-25.3,-130.96,80.37
MMTSADm,39.79,7.4,-16.23,-78.24,99.22
MTAP,10.86,4.73,11.18,-57.47,79.83
MTHFCm,36.25,4.96,-14.21,-53.62,25.19
MTHFD2m,5.21,2.05,5.22,-58.18,68.61
MTHFDm,8.64,2.06,5.69,-57.73,69.1
MTHGXLt,0.0,0.0,0.0,-29.69,29.69
N2M2NMASNt,0.0,0.0,0.0,-29.69,29.69
N2M2NMASNtly,0.0,0.0,-0.0,-29.69,29.69
NABTNO,46.17,9.69,-43.77,-122.14,34.6
NABTNOm,46.17,9.69,-53.27,-131.64,25.1
NACASPAH,-21.97,4.83,-20.52,-101.24,6.75
NACASPtm,0.0,0.0,-29.92,-59.61,-0.23
NACUP,0.0,0.0,2.89,-26.79,32.58
NADHtpu,0.0,0.0,-2.38,-32.07,27.31
NADHtru,0.0,0.0,0.0,-29.69,29.69
NADNe,10.67,7.9,-36.23,-122.96,-2.93
NADPHtru,0.0,0.0,0.0,-29.69,29.69
NADPHtxu,0.0,0.0,-4.76,-34.45,24.93
NADPN,15.43,7.98,-33.24,-120.14,0.21
NADPNe,15.43,7.98,-34.43,-121.33,-0.98
NADPtru,0.0,0.0,0.0,-29.69,29.69
NADPtxu,0.0,0.0,3.57,-26.12,33.26
NADtn,0.0,0.0,0.0,-29.69,29.69
NADtpu,0.0,0.0,2.38,-27.31,32.07
NADtru,0.0,0.0,0.0,-29.69,29.69
NAHCO3_HCLt,0.0,0.0,-1.33,-90.4,87.73
NAIt,0.0,0.0,-3.11,-92.18,85.95
NaKt,11.33,4.76,-29.05,-169.0,57.46
NAt,0.0,0.0,-3.0,-32.69,26.68
NAt3_1g,-0.0,0.0,-6.42,-36.11,23.26
NAt5,0.0,0.0,0.14,-59.24,59.52
NAtx,0.0,0.0,1.02,-28.67,30.71
NBAHH_ir,0.65,9.9,0.96,-89.69,38.17
NCAMUP,0.0,0.0,-0.0,-29.69,29.69
NCCt,0.0,0.0,-0.11,-59.49,59.27
NCKt,0.0,0.0,3.04,-175.09,181.17
NCNt,0.0,0.0,3.18,-174.95,181.31
NDP10ex,28.05,7.1,-9.53,-94.69,22.2
NDP3ex,8.81,5.13,-29.35,-110.67,-1.48
NDP6,8.35,6.71,-29.9,-114.3,1.06
NDP7er,7.98,6.99,-30.19,-115.15,1.32
NDP7ex,7.98,6.99,-30.1,-115.05,1.42
NDP7g,7.98,6.99,-30.82,-115.78,0.69
NDP8,8.16,5.39,-30.02,-111.83,-1.65
NDP8ex,12.17,5.15,-29.03,-110.37,-1.13
NDPK10,1.56,2.53,1.11,-63.23,65.44
NDPK10m,1.56,2.53,0.47,-63.87,64.81
NDPK10n,1.56,2.53,1.11,-63.23,65.44
NDPK1m,-3.68,2.15,-3.89,-67.48,59.71
NDPK1n,-3.68,2.15,-3.71,-67.3,59.88
NDPK2m,-0.85,2.04,-1.32,-64.69,62.05
NDPK2n,-0.85,2.04,-0.95,-64.32,62.42
NDPK3m,-3.68,4.35,-3.68,-71.57,64.22
NDPK3n,-3.68,4.35,-3.68,-71.57,64.22
NDPK4m,-0.05,4.58,-0.36,-68.72,68.0
NDPK4n,-0.05,4.58,-0.11,-68.47,68.25
NDPK5m,-0.61,4.46,-0.82,-68.93,67.3
NDPK5n,-0.61,4.46,-0.65,-68.76,67.47
NDPK6m,1.56,2.53,1.09,-63.25,65.42
NDPK6n,1.56,2.53,1.46,-62.88,65.79
NDPK7m,1.65,4.46,1.65,-66.46,69.77
NDPK7n,1.65,4.46,1.65,-66.46,69.76
NDPK8m,2.68,2.79,2.68,-62.16,67.52
NDPK8n,2.68,2.79,2.68,-62.16,67.52
NDPK9m,3.74,2.35,2.65,-61.34,66.64
NDPK9n,3.74,2.35,3.29,-60.7,67.28
NH4t3r,0.0,0.0,1.16,-28.53,30.84
NH4tn,0.0,0.0,0.0,-29.69,29.69
NH4tp,0.0,0.0,1.21,-28.48,30.9
NICRNS,35.14,7.32,-4.91,-78.63,68.82
NICRNTtn,0.0,0.0,0.0,-29.69,29.69
NIFEDIPINEte,0.0,0.0,-0.0,-29.69,29.69
NKCC2t,0.0,0.0,-0.08,-118.83,118.68
NKCCt,0.0,0.0,-0.22,-118.97,118.54
NMNATm,-54.09,6.69,4.97,-67.52,77.46
NMNATn,-54.09,6.69,-0.94,-73.43,71.55
NMNATr,-54.09,6.69,-0.94,-73.43,71.55
NMNS,-70.96,10.94,-10.97,-91.8,69.86
NMNtn,0.0,0.0,0.0,-29.69,29.69
NMPTRCOX,-145.56,21.01,-144.14,-286.25,-55.46
NNATm,-73.47,10.41,-14.42,-94.21,65.36
NNATn,-73.47,10.41,-20.39,-100.17,59.4
NOt,0.0,0.0,0.0,-29.69,29.69
NP1,-47.15,7.53,-3.25,-77.38,70.88
NPTHLte,0.0,0.0,0.0,-29.69,29.69
NRPPHRSFt,0.0,0.0,-0.04,-29.72,29.65
NRPPHRt4_2_r,0.0,0.0,-8.87,-97.94,80.2
NRPPHRtu,0.0,0.0,-2.86,-32.55,26.83
NRPPHRVESSEC,11.33,4.76,-26.19,-136.45,30.63
NRVNCCOAtx,0.0,0.0,-4.76,-34.45,24.93
NRVNCCRNt,0.0,0.0,0.0,-29.69,29.69
NTD12,-10.59,4.34,-10.76,-90.52,15.55
NTD1m,-15.57,2.45,-15.45,-91.51,7.18
NTD2e,-3.45,7.41,-3.62,-89.39,28.71
NTD2l,-3.45,7.41,-6.73,-92.5,25.6
NTD2m,-3.45,7.41,-3.32,-89.09,29.0
NTD3l,-15.66,4.31,-18.91,-98.6,7.35
NTD4e,-13.89,5.1,-14.11,-95.35,13.7
NTD4l,-13.89,5.1,-17.17,-98.42,10.64
NTD5l,-10.0,5.37,-13.24,-95.01,15.09
NTD5m,-10.0,5.37,-9.95,-91.72,18.38
NTD6l,-22.18,4.51,-25.78,-105.88,0.88
NTD7e,-13.45,2.28,-13.67,-89.39,8.6
NTD7l,-13.45,2.28,-17.08,-92.8,5.19
NTD8l,-13.4,4.31,-16.65,-96.34,9.61
NTD9e,-5.05,5.44,-5.25,-87.17,23.22
NTD9l,-5.05,5.44,-8.33,-90.25,20.14
NTMELYStner,0.0,0.0,0.0,-29.69,29.69
NTP3e,15.0,5.21,-26.3,-107.76,1.73
NTPP10,-6.82,6.93,-42.98,-127.81,-11.6
NTPP11,-6.82,6.93,-43.11,-127.93,-11.72
NTPP9,10.89,6.69,-25.27,-109.64,5.65
O2St,0.0,0.0,-2.87,-32.56,26.82
O2Stm,0.0,0.0,15.0,-14.69,44.69
O2Stn,0.0,0.0,0.0,-29.69,29.69
O2Stx,0.0,0.0,-1.22,-30.91,28.47
O2ter,0.0,0.0,0.0,-29.69,29.69
O2tm,0.0,0.0,0.0,-29.69,29.69
O2tn,0.0,0.0,0.0,-29.69,29.69
O2tp,0.0,0.0,0.0,-29.69,29.69
OAGD3te,0.0,0.0,-5.79,-35.48,23.9
OAGD3tg,0.0,0.0,0.0,-29.69,29.69
OAGT3te,0.0,0.0,-8.68,-38.37,21.01
OAGT3tg,0.0,0.0,0.0,-29.69,29.69
OCBTm,14.51,6.69,-33.22,-105.71,39.27
OCCOAtm,0.0,0.0,59.83,30.14,89.52
OCCOAtx,0.0,0.0,-4.76,-34.45,24.93
OCDCAtr,0.0,0.0,2.89,-26.8,32.58
OCDCEAtr,0.0,0.0,2.89,-26.8,32.58
OCOAT1m,8.35,1.06,12.59,-48.86,74.04
OCTAt,0.0,0.0,2.89,-26.8,32.58
ODECOAtx,0.0,0.0,-4.76,-34.45,24.93
OIVD1m,-27.92,6.95,-29.04,-131.73,73.65
OIVD2m,-19.6,5.65,-20.72,-120.86,79.42
OIVD3m,-19.6,5.65,-20.72,-120.86,79.42
OMEPRAZOLEte,0.0,0.0,0.01,-29.68,29.69
ONPTHLte,0.0,0.0,0.0,-29.69,29.69
OPAHir,19.03,6.25,-21.39,-134.59,38.37
ORETNF,-319.37,8.49,-493.33,-557.48,-375.75
ORETNtn,0.0,0.0,0.0,-29.69,29.69
ORETNtn2,0.0,0.0,0.0,-29.69,29.69
ORNt3m,0.0,0.0,-4.67,-34.36,25.02
ORNt4m,0.0,0.0,-4.89,-64.26,54.49
ORNTArm,-22.3,7.34,-19.8,-93.57,53.97
ORNtiDF,0.0,0.0,-2.89,-32.57,26.8
ORPT,9.31,2.12,-2.03,-65.56,61.49
OXAHCOtex,0.0,0.0,0.07,-89.0,89.14
OXAtp,0.0,0.0,2.38,-27.31,32.06
P45011A1m,-821.46,11.11,-768.04,-867.0,-615.64
P45011B11m,-451.98,7.18,-398.56,-460.15,-283.54
P45011B12m,-451.98,7.18,-398.56,-460.15,-283.54
P45011B21m,-825.21,11.27,-771.79,-829.5,-607.2
P45017A1r,-454.99,7.29,-406.32,-468.11,-291.09
P45017A2r,-271.27,6.83,-222.6,-330.99,-140.93
P45017A3r,-454.99,7.29,-406.32,-468.11,-291.09
P45017A4r,-269.51,6.49,-220.85,-328.58,-139.84
P45021A1r,-438.12,6.95,-389.45,-450.58,-274.89
P45021A2r,-438.12,6.95,-389.45,-450.58,-274.89
P45027A11m,-438.12,6.95,-384.7,-445.82,-270.13
P45027A12m,64.89,5.15,11.47,-58.0,80.94
P45027A13m,-501.01,5.19,-496.58,-554.25,-385.46
P45027A14m,-438.12,6.95,-384.7,-445.82,-270.13
P45027A15m,-485.72,7.3,-432.3,-494.12,-317.05
P45027A16m,-501.01,5.19,-496.58,-554.25,-385.46
P45027A1m,-438.12,6.95,-384.7,-445.82,-270.13
P4502A6,-483.78,7.68,-435.99,-498.54,-320.0
P4502C9,-438.12,6.95,-389.45,-450.58,-274.89
P4502C92,-451.98,7.18,-403.32,-464.9,-288.29
P4502C93,-438.12,6.95,-389.45,-450.58,-274.89
P4502D6,-451.98,7.18,-403.32,-464.9,-288.29
P4502E1,-483.78,7.68,-434.58,-497.13,-318.59
P45039A1r,-451.98,7.18,-403.32,-464.9,-288.29
P4503A43r,-436.36,7.24,-387.7,-449.38,-272.57
P4503A7r,-450.23,7.51,-401.56,-463.78,-285.9
P45046A1r,-443.83,6.88,-395.16,-456.15,-280.73
P4504B1r,-444.93,7.17,-396.26,-457.81,-281.27
P4504F121r,-439.21,7.43,-390.55,-452.61,-275.05
P4504F122r,-438.12,6.95,-389.45,-450.58,-274.89
P4504F81r,-444.93,7.17,-396.26,-457.8,-281.27
P4507A1r,-450.36,7.01,-401.7,-462.95,-287.01
P4507B11r,-451.98,7.18,-403.32,-464.9,-288.29
P4507B12r,-451.98,7.18,-403.32,-464.9,-288.29
P4508B11r,-451.98,7.18,-403.32,-464.9,-288.29
P4508B13r,-448.55,7.18,-402.84,-464.41,-287.84
P450LTB4r,-711.43,7.66,-708.47,-765.05,-571.73
P450SCC1m,-450.36,7.01,-396.95,-458.19,-282.26
P5CDm,-6.08,10.35,-56.75,-136.42,22.92
P5CRm,-138.24,10.58,-35.82,-115.93,44.29
P5CRxm,-134.81,10.59,-35.35,-115.48,44.79
PA_HSter,0.0,0.0,0.0,-29.69,29.69
PA_HStg,0.0,0.0,0.0,-29.69,29.69
PA_HStn,0.0,0.0,0.0,-29.69,29.69
PACCOAL,-32.07,4.2,-24.81,-122.1,72.48
PAIL_HStn,0.0,0.0,0.0,-29.69,29.69
PAIL45P_HStn,0.0,0.0,0.0,-29.69,29.69
PAIL4P_HStn,0.0,0.0,0.0,-29.69,29.69
PAN4PP,-15.57,2.45,-15.66,-91.72,6.96
PAPStg,0.0,0.0,-0.09,-29.77,29.6
PAPtg,0.0,0.0,0.26,-29.42,29.95
PCFLOPm,11.33,4.76,-29.05,-139.31,27.77
PCHOL_HSter,0.0,0.0,0.0,-29.69,29.69
PCHOL_HStg,0.0,0.0,0.0,-29.69,29.69
PCm,34.88,4.87,-11.21,-109.83,87.41
PCREATtmdiffir,0.0,0.0,-14.99,-44.68,14.7
PCRNtc,0.0,0.0,0.0,-29.69,29.69
PCRNtm,0.0,0.0,0.0,-29.69,29.69
PCt,11.33,4.76,-29.05,-139.31,27.77
PDE1,-1.86,5.07,-47.66,-87.28,-8.04
PDE1g,-1.86,5.07,-43.08,-82.7,-3.46
PDE4,4.21,7.82,-41.6,-86.62,3.42
PDE4g,4.21,7.82,-37.04,-82.05,7.98
PDE4n,4.21,7.82,-41.6,-86.62,3.42
PDHm,-34.37,5.2,-35.49,-134.75,63.77
PDX5PO,-113.97,6.93,-115.35,-188.3,-42.4
PDXPP,-22.17,3.79,-22.29,-100.98,2.96
PE_HSter,0.0,0.0,0.0,-29.69,29.69
PE_HStg,0.0,0.0,0.0,-29.69,29.69
PE_HStm,0.0,0.0,0.0,-29.69,29.69
PEAMNO,-89.02,8.97,-89.07,-207.59,-24.0
PEFLIP,11.33,4.76,-29.05,-139.31,27.77
PEFLIPm,11.33,4.76,-29.05,-139.31,27.77
PEPCK,11.15,5.45,13.96,-97.67,72.14
PEPCKm,11.15,5.45,14.29,-97.33,72.47
PEPLYStn,0.0,0.0,0.0,-29.69,29.69
PERILLYLte,0.0,0.0,0.0,-29.69,29.69
PEROXx,42.11,22.91,-175.95,-488.05,136.16
PEt,0.0,0.0,0.0,-29.69,29.69
PETHCT,-57.09,6.69,-3.76,-76.25,68.72
PFK26,52.45,7.79,6.63,-68.03,81.28
PGCD,76.81,4.82,31.14,-37.67,99.96
PGLer,22.54,5.44,-24.66,-65.01,15.68
PGLYCt,0.0,0.0,2.89,-26.79,32.58
PHACCOAGLNAC,58.81,7.29,58.79,-14.88,132.45
PHCDm,37.51,10.11,-13.46,-92.66,65.74
PHCHGSm,-8.66,9.77,39.6,-9.25,88.44
PHEACGLNt,0.0,0.0,0.0,-29.69,29.69
PHEMEtm,0.0,0.0,-29.91,-59.6,-0.22
PHEt4,0.0,0.0,-2.99,-62.37,56.39
PHETA1m,-1.7,3.34,-0.29,-66.22,65.65
PHEtec,0.0,0.0,0.01,-29.67,29.7
PHYCBOXL,-79.74,10.06,-36.97,-127.93,0.56
PHYHx,-450.76,7.54,-450.8,-554.64,-346.97
PHYQt,11.33,4.76,-29.05,-139.31,27.77
PHYTt,0.0,0.0,2.89,-26.8,32.58
PIter,0.0,0.0,0.0,-29.69,29.69
PItg,0.0,0.0,1.68,-28.01,31.37
PItn,0.0,0.0,0.0,-29.69,29.69
PItx,0.0,0.0,-2.59,-32.28,27.09
PMEVKx,6.65,3.34,3.68,-62.25,69.62
PMI12346PH,8.16,5.39,-20.21,-102.02,8.16
PMI12346PHn,8.16,5.39,-20.21,-102.02,8.16
PMTCOAtx,0.0,0.0,-4.76,-34.45,24.93
PNTEH,-24.77,8.07,-26.26,-113.34,7.37
PNTKm,37.87,8.42,-9.69,-85.57,66.19
PNTOt5,11.33,4.76,-29.16,-169.11,57.35
PPAer,24.76,4.74,-16.84,-97.38,10.26
PPAm,24.76,4.74,-17.61,-98.16,9.49
PPAn,24.76,4.74,-16.84,-97.38,10.26
PPAt,0.0,0.0,2.89,-26.8,32.58
PPAtm,0.0,0.0,14.96,-14.73,44.65
PPCOACm,38.98,9.9,-11.55,-120.02,96.92
PPCOAOm,40.18,7.74,37.58,-36.97,112.13
PPD2CSPp,-16.34,8.85,-16.33,-63.37,30.71
PPDOx,-74.87,5.32,-29.16,-98.96,40.63
PPDOy,-78.3,5.29,-29.63,-99.38,40.11
PPItr,0.0,0.0,0.0,-29.69,29.69
PPItx,0.0,0.0,-3.14,-32.83,26.55
PPMI12346Ptn,0.0,0.0,0.0,-29.69,29.69
PPMI1346Ptn,0.0,0.0,0.0,-29.69,29.69
PPOR,-512.01,10.48,-512.07,-591.99,-432.14
PPPG9tm,0.0,0.0,29.91,0.22,59.6
PPPItn,0.0,0.0,0.0,-29.69,29.69
PRAGSr,26.41,6.37,-13.7,-115.25,87.86
PRASCS,40.72,8.74,2.58,-103.62,108.78
PRDX,-293.64,7.53,-293.64,-326.22,-207.62
PRDXl,-293.64,7.53,-293.64,-326.22,-207.62
PRGNLONEtm,0.0,0.0,-0.0,-29.69,29.69
PRGNLONEtr,0.0,0.0,0.0,-29.69,29.69
PRGSTRNt,0.0,0.0,-0.0,-29.69,29.69
PRISTANALtx,0.0,0.0,-0.0,-29.69,29.69
PRISTCOAtx,0.0,0.0,4.76,-24.93,34.45
PRISTtx,0.0,0.0,1.19,-28.5,30.88
PRO1xm,134.81,10.59,35.35,-44.79,115.48
PROAKGOX1r,-477.6,13.11,-477.63,-592.4,-362.87
PROD2m,70.61,8.25,19.02,-56.53,94.56
PRODt2r,0.0,0.0,-1.71,-31.4,27.98
PRODt2rL,0.0,0.0,-11.93,-41.62,17.76
PROSTGD2t,0.0,0.0,0.03,-59.34,59.41
PROSTGE1t,0.0,0.0,0.03,-59.34,59.41
PROSTGE1t3,11.33,4.76,-31.95,-142.21,24.88
PROSTGE2t,0.0,0.0,0.03,-59.34,59.41
PROSTGE2t2,0.0,0.0,2.89,-26.79,32.58
PROSTGE2t3,11.33,4.76,-31.95,-142.21,24.88
PROSTGF2t,0.0,0.0,2.89,-26.79,32.58
PROSTGH2t,0.0,0.0,0.03,-59.34,59.41
PROSTGI2t,0.0,0.0,0.03,-59.34,59.41
PROSTGI2tr,0.0,0.0,0.0,-29.69,29.69
PROt2rL,0.0,0.0,-11.93,-41.62,17.76
PROt4,0.0,0.0,-3.0,-62.38,56.37
PROtm,0.0,0.0,-0.0,-29.69,29.69
PRPNCOAHYDm,-0.48,3.95,-0.48,-37.92,36.95
PRPNCOAHYDx,-0.48,3.95,-0.48,-37.92,36.95
PS_HSter,0.0,0.0,0.0,-29.69,29.69
PS_HStg,0.0,0.0,0.0,-29.69,29.69
PSFLIP,11.33,4.76,-26.16,-136.42,30.67
PSFLIPm,11.33,4.76,-14.1,-124.36,42.73
PSt3,0.0,0.0,2.89,-26.79,32.58
PTDCACRNt,0.0,0.0,0.0,-29.69,29.69
PTDCAt,0.0,0.0,2.89,-26.8,32.58
PTE2x,9.65,13.27,-33.45,-130.72,10.38
PTE3x,18.75,5.46,-24.34,-106.3,4.17
PTE4x,18.75,5.46,-24.35,-106.3,4.17
PTE5x,18.75,5.46,-24.34,-106.3,4.18
PTRCAT1,35.42,5.91,-5.91,-76.88,65.06
PTRCOX1,-89.02,8.97,-87.6,-206.12,-22.53
PYAM5POr,-89.02,8.97,-92.17,-210.68,-27.09
PYAM5Ptm,0.0,0.0,12.17,-17.52,41.86
PYDX5Ptm,0.0,0.0,26.81,-2.88,56.5
PYDXK,24.87,5.99,-16.17,-87.29,54.94
PYDXPP,-13.54,3.67,-12.88,-91.32,12.13
PYLALDOX,46.17,9.69,-43.78,-122.15,34.59
PYLALDOXm,46.17,9.69,-53.27,-131.65,25.1
PYNP2r,3.62,2.12,3.96,-59.56,67.48
PYRt2m,0.0,0.0,-4.75,-34.44,24.94
