RXNID	NAME	FORMULA	SUBSYSTEM	GR RULE	EC NUMBER	KEGG	NOTES	REFERENCES
SO4tl	Sulfate Transport, Lysosomal	1 so4[l] <=> 1 so4[c]	Transport, lysosomal					PMID:10535998,PMID:15607730
SOAT11	Sterol O-Acyltransferase (Acyl-Coenzyme A: Cholesterol Acyltransferase) 1	1 R1coa_hs[c] + 1 chsterol[c] --> 1 coa[c] + 1 xolest_hs[c]	Cholesterol metabolism	(6646)	2.4.99.9		SOAT11 and SOAT12 are templates, customized rxns can be formed particular ester moieties. NJ	PMID:15850387,PMID:8407899
SOAT11r	Sterol O-Acyltransferase (Acyl-Coenzyme A: Cholesterol Acyltransferase) 1	1 chsterol[r] + 1 R1coa_hs[r] --> 1 coa[r] + 1 xolest_hs[r]	Cholesterol metabolism	(6646)	2.4.99.9		SOAT11 and SOAT12 are templates, customized rxns can be formed particular ester moieties. NJ	PMID:15850387,PMID:8407899
SOAT12	Sterol O-Acyltransferase (Acyl-Coenzyme A: Cholesterol Acyltransferase) 1	1 R2coa_hs[c] + 1 chsterol[c] --> 1 coa[c] + 1 xolest_hs[c]	Cholesterol metabolism	(6646)			SOAT11 and SOAT12 are templates, customized rxns can be formed particular ester moieties. NJ	PMID:15850387,PMID:8407899
SOAT12r	Sterol O-Acyltransferase (Acyl-Coenzyme A: Cholesterol Acyltransferase) 1	1 chsterol[r] + 1 R2coa_hs[r] --> 1 coa[r] + 1 xolest_hs[r]	Cholesterol metabolism	(6646)			SOAT11 and SOAT12 are templates, customized rxns can be formed particular ester moieties. NJ	PMID:15850387,PMID:8407899
SPC_HSt	Sphingosylphosphorylcholine Transport (Diffusion)	1 spc_hs[c] <=> 1 spc_hs[e]	Transport, extracellular					PMID:12069827
SPH1Pte	Transport of (2S,3R)-2-Azaniumyl-3-Hydroxyoctadecyl Phosphate	1 sph1p[c] <=> 1 sph1p[e]	Transport, extracellular				unknown mechanism for transport, may be vesicular/caveolar/other ... intracellular transport and extracellular export mechanisms must exist - see for example: PMID: 15585321 NJ	PMID:15585321
SPH1Ptr	Transport of (2S,3R)-2-Azaniumyl-3-Hydroxyoctadecyl Phosphate	1 sph1p[c] <=> 1 sph1p[r]	Transport, endoplasmic reticular				unknown mechanism for transport, may be vesicular/caveolar/other ... intracellular transport and extracellular export mechanisms must exist - see for example: PMID: 15585321 NJ	PMID:15052333,PMID:15585321
SPHGNtr	Sphinganine Intracellular Transport	1 sphgn[r] <=> 1 sphgn[c]	Transport, endoplasmic reticular				unknown mechanism - reflects interaction between different stages of endosomes and cytoplasm NJ	
SPHINGStl	Sphingosine Intracellular Transport	1 sphings[c] <=> 1 sphings[l]	Transport, lysosomal				unknown mechanism, however sphingosine manages to get in different compartments of cells. NOT presumed to be flip-flop. NJ	
SPHINGStr	Sphingosine Intracellular Transport	1 sphings[c] <=> 1 sphings[r]	Transport, endoplasmic reticular				unknown mechanism, however sphingosine manages to get in different compartments of cells. NOT presumed to be flip-flop. NJ	
SPHK21c	Sphingosine Kinase 2	1 atp[c] + 1 sphings[c] --> 1 h[c] + 1 adp[c] + 1 sphs1p[c]	Sphingolipid metabolism	(56848) or (8877)			NJ	PMID:10751414
SPHMDAc	Sphingomyelin Deacylase	1 h2o[c] + 1 sphmyln_hs[c] --> 1 Rtotal[c] + 1 spc_hs[c]	Sphingolipid metabolism				limited details on mechanism, localization, etc. See PMID: 12069827 NJ	PMID:12069827
SPHMYLNtg	Sphingomyelin Intracellular Transport	1 sphmyln_hs[c] <=> 1 sphmyln_hs[g]	Transport, golgi apparatus				unknown mechanism for transport - however must get to other intracellular compartments (e.g. lysosome for degradation) NJ	PMID:15907394
SPHMYLNtl	Sphingomyelin Intracellular Transport	1 sphmyln_hs[c] <=> 1 sphmyln_hs[l]	Transport, lysosomal				unknown mechanism for transport - however must get to other intracellular compartments (e.g. lysosome for degradation) NJ	PMID:15907394
SPHS1Pte	Sphingosine-1-Phosphate Transport	1 sphs1p[c] <=> 1 sphs1p[e]	Transport, extracellular				unknown mechanism, however sphs1p is known to have intracellular and extracellular activity and signal transduction functions (PMID: 10751414). NJ	PMID:10751414
SPHS1Ptr	Sphingosine-1-Phosphate Transport	1 sphs1p[c] <=> 1 sphs1p[r]	Transport, endoplasmic reticular				unknown mechanism, however sphs1p is known to have intracellular and extracellular activity and signal transduction functions (PMID: 10751414 or PMID: 15585321). NJ	PMID:15052333,PMID:15585321
SPMDOX	Spermidine: (Acceptor) Oxidoreductase	1 h2o[c] + 1 o2[c] + 1 spmd[c] --> 1 13dampp[c] + 1 h2o2[c] + 1 4abutn[c]	Beta-Alanine metabolism		1.5.99.6		SAB	PMID:10657958
SPODMe	Superoxide Dismutase, Extracellular	2 h[e] + 2 o2s[e] --> 1 h2o2[e] + 1 o2[e]	ROS detoxification	(6649)	1.15.1.1	R00275	JLR	PMID:12126755,PMID:3476950,PMID:9228011
SPODMm	Superoxide Dismutase	2 h[m] + 2 o2s[m] --> 1 o2[m] + 1 h2o2[m]	ROS detoxification	(6648)	1.15.1.1	R00275	TV (8-15-2003)	PMID:12649272,PMID:9376114
SPODMn	Superoxide Dismutase, Nuclear	2 h[n] + 2 o2s[n] --> 1 h2o2[n] + 1 o2[n]	ROS detoxification	(6647)	1.15.1.1	R00275	JLR	PMID:1332049,PMID:3889846
SPODMx	Superoxide Dismutase, Peroxisome	2 h[x] + 2 o2s[x] --> 1 o2[x] + 1 h2o2[x]	ROS detoxification	(6647)	1.15.1.1	R00275	JLR	PMID:1332049,PMID:3889846
SPR	Sepiapterin Reductase	2 h[c] + 2 nadph[c] + 1 6pthp[c] --> 2 nadp[c] + 1 thbpt[c]	Tetrahydrobiopterin metabolism	(6697)	1.1.1.153	R08208		PMID:10727395
SPRMS	Spermine Synthase	1 ametam[c] + 1 spmd[c] --> 1 h[c] + 1 sprm[c] + 1 5mta[c]	Urea cycle	(6611) or (6723)	2.5.1.22	R02869	NCD	PMID:7546290
SPRn	Sepiapterin Reductase, Nuclear	2 h[n] + 1 6pthp[n] + 2 nadph[n] --> 2 nadp[n] + 1 thbpt[n]	Tetrahydrobiopterin metabolism	(6697)	1.1.1.153		IT	PMID:10727395,PMID:14729142
SPTix	Serine-Pyruvate Aminotransferase (Irreversible), Peroxisomal	1 pyr[x] + 1 ser_L[x] --> 1 ala_L[x] + 1 hpyr[x]	Glycine, serine, alanine, and threonine metabolism	(189)	2.6.1.44	R00585		PMID:10960483,PMID:9783918
SQLEr	Squalene Epoxidase, Endoplasmic Reticular (NADP)	1 o2[r] + 1 h[r] + 1 nadph[r] + 1 sql[r] --> 1 h2o[r] + 1 nadp[r] + 1 Ssq23epx[r]	Cholesterol metabolism	(6713)	1.14.99.7	R02874	NCD	PMID:1964954
SQLSr	Squalene Synthase	1 h[r] + 1 nadph[r] + 2 frdp[r] --> 1 nadp[r] + 2 ppi[r] + 1 sql[r]	Cholesterol metabolism	(2222)	2.5.1.21	R06223	This is a lumped reaction: Rxn 1: 2 frdp -> 2 ppi + presqualene diphosphate Rxn 2: presqualene diphosphate + NADPH -> squalene + NADP NCD ER version - NJ	PMID:1318747
SR5AR2r	3-Oxo-5-Alpha-Steroid 4-Dehydrogenase	1 h[r] + 1 nadph[r] + 1 andrstndn[r] --> 1 nadp[r] + 1 andrstandn[r]	Steroid metabolism	(6715) or (6716)	1.3.99.5		see PMID: 14643063 there are actually two types, but the difference between them lies in optimal pH function - grouped as one reaction at his point to eliminate redundancy. NADP known to be cofactor NJ	PMID:14643063
SR5ARr	3-Oxo-5-Alpha-Steroid 4-Dehydrogenase	1 h[r] + 1 nadph[r] + 1 tststerone[r] --> 1 5adtststerone[r] + 1 nadp[r]	Steroid metabolism	(6715) or (6716)	1.3.99.5		there are actually two types, but the difference between them lies in optimal pH function - grouped as one reaction at his point to eliminate redundancy. NADP known to be cofactor NJ. human 5alpha-HSD activity determined in transfected COS cells using C-14 labelled testosterone as substrate	PMID:2339109
SRTN23OX	5-Hydroxytryptamine:Oxygen 2, 3-Dioxygenase (Indole-Decyclizing)	1 o2[c] + 1 srtn[c] --> 1 f5hoxkyn[c]	Tryptophan metabolism	(3620)	1.13.11.42		SAB	PMID:1061163
SRTNACT	Acetyl Coenzyme A:Aralkylamine N-Acetyltransferase	1 srtn[c] + 1 accoa[c] --> 1 h[c] + 1 coa[c] + 1 Nacsertn[c]	Tryptophan metabolism	(15)	2.3.1.87		SAB	PMID:8661026
SRTNMTX	S-Adenosyl-L-Methionine:Amine N-Methyltransferase (Srtn)	1 amet[c] + 1 srtn[c] --> 1 h[c] + 1 ahcys[c] + 1 nmthsrtn[c]	Tryptophan metabolism	(11185)	2.1.1.49		SAB seratonin methyltransferase	
SRTNt6_2_r	Seratonin Reversible Transport in via Sodium Symport/Potassium Antiport (1:2)	2 na1[e] + 2 k[c] + 1 srtn[e] <=> 2 na1[c] + 1 srtn[c] + 2 k[e]	Transport, extracellular	(6532)			SAB	PMID:12719981
SRTNtu	Serotonin Uniport	1 srtn[e] <=> 1 srtn[c]	Transport, extracellular	(6580) or (6582)			SAB electrogenic, Na indepdendent & rev NJ	PMID:12883891
ST3GAL21g	CMP-N-Acetylneuraminate-Beta-Galactosamide-Alpha-2, 3-Sialyltransferase, Golgi Apparatus	1 ga1_hs[g] + 1 cmpacna[g] --> 1 h[g] + 1 cmp[g] + 1 gm1b_hs[g]	Sphingolipid metabolism	(6483)	1.15.1.1		NJ	PMID:9266697
ST3GAL22g	CMP-N-Acetylneuraminate-Beta-Galactosamide-Alpha-2, 3-Sialyltransferase, Golgi Apparatus	1 gm1_hs[g] + 1 cmpacna[g] --> 1 h[g] + 1 cmp[g] + 1 gd1a_hs[g]	Sphingolipid metabolism	(6483)	1.15.1.1		NJ	PMID:9266697
ST3GAL23g	CMP-N-Acetylneuraminate-Beta-Galactosamide-Alpha-2, 3-Sialyltransferase, Golgi Apparatus	1 gd1b_hs[g] + 1 cmpacna[g] --> 1 h[g] + 1 cmp[g] + 1 gt1b_hs[g]	Sphingolipid metabolism	(6483)	2.4.99.4		NJ	PMID:9266697
ST3GAL31g	St3 Beta-Galactoside Alpha-2, 3-Sialyltransferase 3	1 galacglcgalgluside_hs[g] + 1 cmpacna[g] --> 1 h[g] + 1 cmp[g] + 1 acngalacglcgalgluside_hs[g]	Blood group synthesis	(6487)	2.4.99.6		NJ	PMID:8333853
ST3GAL61g	Type 2 Lactosamine Alpha-2, 3-Sialyltransferase	1 gal14acglcgalgluside_hs[g] + 1 cmpacna[g] --> 1 h[g] + 1 cmp[g] + 1 acngal14acglcgalgluside_hs[g]	Blood group synthesis	(10402)	1.1.1.153		NJ	PMID:10206952
ST3GAL62g	Type 2 Lactosamine Alpha-2, 3-Sialyltransferase	1 galacglcgal14acglcgalgluside_hs[g] + 1 cmpacna[g] --> 1 h[g] + 1 acngalacglcgal14acglcgalgluside_hs[g] + 1 cmp[g]	Blood group synthesis	(10402)	2.6.1.44		NJ	PMID:10206952
ST6GALNAC21	Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2	1 cmpacna[g] + 1 acngalgbside_hs[g] --> 1 h[g] + 1 acn13acngalgbside_hs[g] + 1 cmp[g]	Sphingolipid metabolism	(10610)	2.4.99.7		NJ	
ST6GALNAC22	Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2	1 cmpacna[g] + 1 acngalgbside_hs[g] --> 1 h[g] + 1 acn23acngalgbside_hs[g] + 1 cmp[g]	Sphingolipid metabolism	(10610)	2.4.99.7		NJ	
ST6GALNAC23	Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2	1 ga2_hs[g] + 1 cmpacna[g] --> 1 h[g] + 1 gm2a_hs[g] + 1 cmp[g]	Sphingolipid metabolism	(10610)	2.4.99.7		NJ	
ST6GALNAC24	Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2	1 gm1a_hs[g] + 1 cmpacna[g] --> 1 h[g] + 1 cmp[g] + 1 gd1b2_hs[g]	Sphingolipid metabolism	(10610)	2.4.99.7		NJ	
ST6GALNAC25	Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2	1 cmpacna[g] + 1 gd1a_hs[g] --> 1 h[g] + 1 cmp[g] + 1 gt1alpha_hs[g]	Sphingolipid metabolism	(10610)	2.4.99.7		NJ	
ST6GALNAC26	Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2	1 cmpacna[g] + 1 gt1alpha_hs[g] --> 1 h[g] + 1 cmp[g] + 1 gq1balpha_hs[g]	Sphingolipid metabolism	(10610)	2.4.99.7		NJ	
ST6GALNAC27	Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2	1 gt1c_hs[g] + 1 cmpacna[g] --> 1 h[g] + 1 cmp[g] + 1 gq1c_hs[g]	Sphingolipid metabolism	(10610)	2.4.99.7		NJ	
ST6GALNAC28	Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 2	1 cmpacna[g] + 1 gq1c_hs[g] --> 1 h[g] + 1 cmp[g] + 1 gp1c_hs[g]	Sphingolipid metabolism	(10610)	2.4.99.7		NJ	
ST6GALNAC31	Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 3	1 cmpacna[g] + 1 gm1b_hs[g] --> 1 h[g] + 1 cmp[g] + 1 gd1a_hs[g]	Sphingolipid metabolism	(256435) or (30815) or (81849)			NJ	
ST6GALNAC62	Sialytransferase 7 ( (Alpha-N-Acetylneuraminyl 2, 3-Betagalactosyl-1, 3)-N-Acetyl Galactosaminide Alpha-2, 6-Sialytransferase) F	1 cmpacna[g] + 1 gt1b_hs[g] --> 1 h[g] + 1 cmp[g] + 1 gq1balpha_hs[g]	Sphingolipid metabolism	(30815)			NJ	
ST8SIA11	Beta-Galactoside Alpha-2, 3-Sialyltransferase	1 cmpacna[g] + 1 acngalgbside_hs[g] --> 1 h[g] + 1 acnacngalgbside_hs[g] + 1 cmp[g]	Sphingolipid metabolism	(6489)	2.4.99.8		NJ	PMID:9199191
ST8SIA12	Beta-Galactoside Alpha-2, 3-Sialyltransferase	1 cmpacna[g] + 1 gm3_hs[g] --> 1 h[g] + 1 cmp[g] + 1 gd3_hs[g]	Sphingolipid metabolism	(6489)	2.4.99.8		NJ	PMID:9199191
ST8SIA51g	Beta-Galactoside Alpha-2, 3-Sialyltransferase	1 cmpacna[g] + 1 gd3_hs[g] --> 1 h[g] + 1 cmp[g] + 1 gt3_hs[g]	Sphingolipid metabolism	(29906)	2.4.99.8		NJ	PMID:9199191
ST8SIA52g	Beta-Galactoside Alpha-2, 3-Sialyltransferase	1 cmpacna[g] + 1 gt1b_hs[g] --> 1 h[g] + 1 cmp[g] + 1 gq1b_hs[g]	Sphingolipid metabolism	(29906)	2.4.99.8		NJ	PMID:9199191
ST8SIA53g	Beta-Galactoside Alpha-2, 3-Sialyltransferase	1 cmpacna[g] + 1 gd1a_hs[g] --> 1 h[g] + 1 cmp[g] + 1 gt1a_hs[g]	Sphingolipid metabolism	(29906)	2.4.99.8		NJ	PMID:9199191
ST8SIA54g	Beta-Galactoside Alpha-2, 3-Sialyltransferase	1 cmpacna[g] + 1 gm1b_hs[g] --> 1 h[g] + 1 cmp[g] + 1 gd1c_hs[g]	Sphingolipid metabolism	(29906)	2.4.99.8		NJ	PMID:9199191
ST8SIA55g	Beta-Galactoside Alpha-2, 3-Sialyltransferase	1 cmpacna[g] + 1 gq1c_hs[g] --> 1 h[g] + 1 cmp[g] + 1 gp1calpha_hs[g]	Sphingolipid metabolism	(29906)	2.4.99.8		NJ	PMID:9199191
ST8SIA56g	Alpha-2, 8-Sialyltransferase 8E	1 cmpacna[g] + 1 acngal14acglcgalgluside_hs[g] --> 1 h[g] + 1 acnacngal14acglcgalgluside_hs[g] + 1 cmp[g]	Blood group synthesis	(29906)	2.4.99.8		NJ	PMID:9199191
STCOAtx	Fatty Acid Intracellular Transport	1 stcoa[c] <=> 1 stcoa[x]	Transport, peroxisomal				interaction between peroxisomes and ER (some enzymes on the outer membrane) NJ	
STRDNCCPT1	Carnitine O-Palmitoyltransferase	1 crn[c] + 1 strdnccoa[c] <=> 1 coa[c] + 1 strdnccrn[c]	Fatty acid oxidation	(126129) or (1374) or (1375)	2.3.1.21		NJ	
STRDNCCPT2	Carnitine Transferase	1 coa[m] + 1 strdnccrn[m] <=> 1 crn[m] + 1 strdnccoa[m]	Fatty acid oxidation	(1376)	2.4.99.7		NJ	
STRDNCCRNt	Transport into the Mitochondria (Carnitine)	1 strdnccrn[c] <=> 1 strdnccrn[m]	Fatty acid oxidation	(788)	2.4.99.7		NJ	
STRDNCt	Fatty Acid Transport via Diffusion	1 strdnc[e] <=> 1 strdnc[c]	Transport, extracellular				NJ	PMID:11788354,PMID:12864740
STS1	Steryl-Sulfatase	1 h2o[c] + 1 dheas[c] --> 1 h[c] + 1 dhea[c] + 1 so4[c]	Steroid metabolism	(412)	3.1.6.2	R03404	NJ	PMID:2668275,PMID:6957717
STS1r	Steryl-Sulfatase	1 h2o[r] + 1 dheas[r] --> 1 h[r] + 1 dhea[r] + 1 so4[r]	Steroid metabolism	(412)	3.1.6.2	R03404	NJ	PMID:2668275,PMID:6957717
STS2	Steryl-Sulfatase	1 h2o[c] + 1 estrones[c] --> 1 h[c] + 1 estrone[c] + 1 so4[c]	Steroid metabolism	(412)	3.1.6.2		NJ	PMID:2668275,PMID:6957717
STS2r	Steryl-Sulfatase	1 h2o[r] + 1 estrones[r] --> 1 h[r] + 1 estrone[r] + 1 so4[r]	Steroid metabolism	(412)	3.1.6.2		NJ	PMID:2668275,PMID:6957717
SUCCt2m	Succinate Transport, Mitochondrial	1 pi[m] + 1 succ[c] <=> 1 pi[c] + 1 succ[m]	Transport, mitochondrial	(1468)			TDV	PMID:14598172
SUCCt4_2	Succinate Transport via Sodium Symport	2 na1[e] + 1 succ[e] <=> 2 na1[c] + 1 succ[c]	Transport, extracellular	(9058)			NCD	PMID:8946005,PMID:8967342
SUCCtp	Succinate Transporter, Peroxisome	1 succ[c] <=> 1 succ[x]	Transport, peroxisomal				unknown mechanism NJ	
SUCD1m	Succinate Dehydrogenase	1 fad[m] + 1 succ[m] <=> 1 fadh2[m] + 1 fum[m]	Citric acid cycle	(6389) and (6390) and (6391) and (6392)	1.3.99.1	R00408	NCD. Biochemical, Genetic	PMID:6945861
SUCOAS1m	Succinate- Coenzyme A Ligase (GDP-Forming)	1 coa[m] + 1 gtp[m] + 1 succ[m] <=> 1 pi[m] + 1 gdp[m] + 1 succoa[m]	Citric acid cycle	(8801) and (8802)	6.2.1.4	R00432	IF	PMID:9765291
SUCOASm	Succinate- Coenzyme A Ligase (ADP-Forming)	1 coa[m] + 1 atp[m] + 1 succ[m] <=> 1 adp[m] + 1 pi[m] + 1 succoa[m]	Citric acid cycle	(8802) and (8803)	6.2.1.5	R00405	MIPS: cofactor ATP IF changed EC from 6.2.1.4 to 6.2.1.5 - NCD	PMID:9765291
SUCRe	Sucrose Hydrolyzing Enxyme, Extracellular	1 h2o[e] + 1 sucr[e] --> 1 glc_D[e] + 1 fru[e]	Galactose metabolism	(6476) or (8972)	3.2.1.26	R06087	NCD	PMID:1560017,PMID:3143729
SULFOX	Sulfite Oxidase	1 h2o[c] + 1 so3[c] + 2 ficytC[m] --> 2 h[c] + 2 focytC[m] + 1 so4[c]	Methionine and cysteine metabolism	(6821)	2.3.1.21		MM/TDV; r0140	PMID:14729666
T2M26DCOAHLm	Trans-2-Methyl-5-Isopropylhexa-2, 5-Dienoyl Coenzyme A Hydro-Lyase, Mitochondrial	1 h2o[m] + 1 t2m26dcoa[m] <=> 1 3h26dm5coa[m]	Limonene and pinene degradation	(549) or (3030) and (3032)	4.2.1.17		SAB	
T2M26DCOAHLx	Trans-2-Methyl-5-Isopropylhexa-2, 5-Dienoyl Coenzyme A Hydro-Lyase, Peroxisomal	1 h2o[x] + 1 t2m26dcoa[x] <=> 1 3h26dm5coa[x]	Limonene and pinene degradation	(1891) or (1962)	4.2.1.17		SAB	
T4HCINNMFM	4-Hydroxycinnamate Formation	1 34hpl[m] --> 1 h2o[m] + 1 T4hcinnm[m]	Ubiquinone synthesis			R08766	IT reaction involved in formation of 4-hydroxybenzoate from tyrosine.	PMID:11583838,PMID:12232327
T4HCINNOX	4-Coumarate:Oxygen Oxidoreductase	1 o2[c] + 2 T4hcinnm[c] --> 2 34dhcinm[c]	Stilbene, coumarine and lignin synthesis	(7299)	1.14.18.1		SAB	
TAGAT_Dt	D-Tagatose Uptake via Diffusion	1 tagat_D[e] --> 1 tagat_D[c]	Transport, extracellular					
TAGt	Triacylglycerol Transport	1 tag_hs[e] <=> 1 tag_hs[c]	Transport, extracellular					
TAURt4_2_r	Taurine Transport (Sodium Symport) (2:1)	2 na1[e] + 1 taur[e] <=> 2 na1[c] + 1 taur[c]	Transport, extracellular	(6533)			SAB	PMID:12719981
TAURtcx	Taurine Transport (Sodium Symport) (Cytosol to Peroxisome)	1 na1[c] + 1 taur[c] <=> 1 taur[x] + 1 na1[x]	Taurine and hypotaurine metabolism	(6533)			SAB	PMID:8010975
TAXOLte	Transport of Xenobiotic	1 taxol[e] <=> 1 taxol[c]	Transport, extracellular				unknown mechanism, related cyp P450 metabolism reactions NJ	
TCHOLAt	Taurocholate Transport via Bicarbonate Antiport	1 hco3[c] + 1 tchola[e] <=> 1 hco3[e] + 1 tchola[c]	Transport, extracellular	(10599) or (28231) or (28234) or (6579)			NJ	PMID:12507753,PMID:9007731,PMID:9334206
TCHOLAt2	Taurocholate Transport via Sodium Symport	2 na1[e] + 1 tchola[e] --> 2 na1[c] + 1 tchola[c]	Transport, extracellular	(6554) or (6555)			electrogenic uptake NJ	PMID:12851823,PMID:7592981,PMID:8132774,PMID:9109432
TCHOLAte	Bile Acid Intracellular Transport	1 tchola[e] <=> 1 tchola[c]	Transport, extracellular				unknown mechanism, however bile acids need to be secreted out of the cell NJ	
TCHOLAtx	Bile Acid Intracellular Transport	1 tchola[x] <=> 1 tchola[c]	Transport, peroxisomal				unknown mechanism, however bile acids need to be secreted out of the cell NJ	
TCYNTt	Thiocyanate Transport via Diffusion (Cytosol to Extracellular)	1 tcynt[c] --> 1 tcynt[e]	Transport, extracellular				thiocyanate is found excreted in urine (PMID: 6351723)  MM	PMID:6351723
TCYNTtm	Thiocyanate Transport via Diffusion, Mitochondrial	1 tcynt[m] --> 1 tcynt[c]	Transport, mitochondrial				thiocyanate is found excreted in urine (PMID: 6351723)  MM	PMID:6351723
TDCHOLAte	Bile Acid Intracellular Transport	1 tdchola[e] <=> 1 tdchola[c]	Transport, extracellular				unknown mechanism, however bile acids need to be secreted out of the cell NJ	
TDCHOLAtx	Bile Acid Intracellular Transport	1 tdchola[x] <=> 1 tdchola[c]	Transport, peroxisomal				unknown mechanism, however bile acids need to be secreted out of the cell NJ	
TDP	Thiamin Pyrophosphatase	1 h2o[c] + 1 thmpp[c] --> 1 h[c] + 1 pi[c] + 1 thmmp[c]	Thiamine metabolism		3.6.1.15	R00615	_01-25-05 IT AMF	PMID:2171493,PMID:8522961
TDPDRR	DTDP-4-Dehydrorhamnose Reductase	1 h[c] + 1 nadph[c] + 1 dtdp4d6dm[c] --> 1 nadp[c] + 1 dtdprmn[c]	Nucleotide sugar metabolism		1.1.1.133		JLR	PMID:9893952
TDPm	Thiamin Pyrophosphatase, Mitochondrial	1 h2o[m] + 1 thmpp[m] --> 1 h[m] + 1 pi[m] + 1 thmmp[m]	Thiamine metabolism		3.6.1.15	R00615	_01-25-05 IT	PMID:9755848
TETHEX3COAtx	Fatty Acid Intracellular Transport	1 tethex3coa[c] <=> 1 tethex3coa[x]	Transport, peroxisomal				interaction between peroxisomes and ER (some enzymes on the outer membrane) NJ	
TETHEX3t	Fatty Acid Transport via Diffusion	1 tethex3[e] <=> 1 tethex3[c]	Transport, extracellular				NJ	PMID:11788354,PMID:12864740
TETPENT3COAtx	Fatty Acid Intracellular Transport	1 tetpent3coa[c] <=> 1 tetpent3coa[x]	Transport, peroxisomal				interaction between peroxisomes and ER (some enzymes on the outer membrane) NJ	
TETPENT3CPT1	Carnitine O-Palmitoyltransferase	1 crn[c] + 1 tetpent3coa[c] <=> 1 coa[c] + 1 tetpent3crn[c]	Fatty acid oxidation	(126129) or (1374) or (1375)	2.3.1.21		NJ	
TETPENT3CPT2	Carnitine Transferase	1 coa[m] + 1 tetpent3crn[m] <=> 1 crn[m] + 1 tetpent3coa[m]	Fatty acid oxidation	(1376)			NJ	
TETPENT3CRNt	Transport into the Mitochondria (Carnitine)	1 tetpent3crn[c] <=> 1 tetpent3crn[m]	Fatty acid oxidation	(788)			NJ	
TETPENT3t	Fatty Acid Transport via Diffusion	1 tetpent3[e] <=> 1 tetpent3[c]	Transport, extracellular				NJ	PMID:11788354,PMID:12864740
TETPENT6COAtx	Fatty Acid Intracellular Transport	1 tetpent6coa[c] <=> 1 tetpent6coa[x]	Transport, peroxisomal				interaction between peroxisomes and ER (some enzymes on the outer membrane) NJ	
TETPENT6CPT1	Carnitine O-Palmitoyltransferase	1 crn[c] + 1 tetpent6coa[c] <=> 1 coa[c] + 1 tetpent6crn[c]	Fatty acid oxidation	(126129) or (1374) or (1375)	2.3.1.21		NJ	
TETPENT6CPT2	Carnitine Transferase	1 coa[m] + 1 tetpent6crn[m] <=> 1 crn[m] + 1 tetpent6coa[m]	Fatty acid oxidation	(1376)			NJ	
TETPENT6CRNt	Transport into the Mitochondria (Carnitine)	1 tetpent6crn[c] <=> 1 tetpent6crn[m]	Fatty acid oxidation	(788)	3.6.1.15		NJ	
TETPENT6t	Fatty Acid Transport via Diffusion	1 tetpent6[e] <=> 1 tetpent6[c]	Transport, extracellular				NJ	PMID:11788354,PMID:12864740
TETTET6COAtx	Fatty Acid Intracellular Transport	1 tettet6coa[c] <=> 1 tettet6coa[x]	Transport, peroxisomal				interaction between peroxisomes and ER (some enzymes on the outer membrane) NJ	
TETTET6CPT1	Carnitine O-Palmitoyltransferase	1 crn[c] + 1 tettet6coa[c] <=> 1 coa[c] + 1 tettet6crn[c]	Fatty acid oxidation	(126129) or (1374) or (1375)	2.3.1.21		NJ	
TETTET6CPT2	Carnitine Transferase	1 coa[m] + 1 tettet6crn[m] <=> 1 crn[m] + 1 tettet6coa[m]	Fatty acid oxidation	(1376)	3.6.1.15		NJ	
TETTET6CRNt	Transport into the Mitochondria (Carnitine)	1 tettet6crn[c] <=> 1 tettet6crn[m]	Fatty acid oxidation	(788)			NJ	
TETTET6t	Fatty Acid Transport via Diffusion	1 tettet6[e] <=> 1 tettet6[c]	Transport, extracellular				NJ	PMID:11788354,PMID:12864740
THBPT4ACAMDASE	Tetrahydrobiopterin-4A-Carbinolamine Dehydratase	1 thbpt4acam[c] --> 1 h2o[c] + 1 dhbpt[c]	Tetrahydrobiopterin metabolism	(5092)	4.2.1.96		SAB  based on PMID 10727395	PMID:10727395
THCHOLSTOICtm	Lipid, Flip-Flop Intracellular Transport	1 thcholstoic[m] <=> 1 thcholstoic[x]	Transport, peroxisomal				cholesterol precursor, transport by "diffusion" -> actually beleived to be flip-flop mechanism (PMID: 12840657). NJ	PMID:12840657
THD1m	NAD (P) Transhydrogenase	1 nadp[m] + 1 h[c] + 1 nadh[m] --> 1 h[m] + 1 nadph[m] + 1 nad[m]	NAD metabolism	(23530)	1.6.1.2		TDV (2-6-2003)	PMID:12223207,PMID:8647343,PMID:9524818
THFt2	Tetrahydrofolate Transport via Anion Antiport	1 h2o[c] + 1 thf[e] <=> 1 h2o[e] + 1 thf[c]	Transport, extracellular	(6573)			IT	PMID:11375437,PMID:14770311
